2
G3 E3
L10 E6
G9 L4
A5 L4
G9 F11
A5 I2
G3 D12
L10 G8
G9 L5
C8 N8
N3 A3
L10 L4
B2 F4
G2 C12
F4 A12
I6 A11
G3 H10
C12 G2
G9 D2
A11 A10
L10 A5
G2 E3
G9 C2
L10 L5
G9 G8
L10 D1
L10 A3
E3 C2
G3 A8
C8 F5
G9 I11
C2 C1
G3 I7
L4 B7
A12 L3
C8 M6
G3 F12
L10 A12
G9 L12
L10 M9
G9 I11
B7 B9
L10 D11
L10 G11
G3 A9
C8 D2
L3 N6
C8 L8
A3 A7
A10 A12
A7 B6
L10 H12
L10 M10
B9 E6
N6 A5
L10 N10
A5 D5
E6 D7
G9 L8
C1 M2
L10 M7
L10 M9
G9 F3
A12 E3
G3 H1
C8 H7
L10 B8
L10 D9
G9 E9
L10 A8
G9 M8
C8 M7
G3 B5
L10 G7
L10 M9
E3 L11
G3 A2
M2 M9
D5 I6
M9 G5
I6 B12
D7 E12
G9 A11
E12 G11
L10 A6
L11 B9
L10 M1
G11 C4
G3 B1
B9 L11
G3 I8
L10 M12
B6 A5
C4 D3
A5 F7
C8 H2
G9 B9
C8 M4
L10 H7
G5 H2
F7 D3
L11 G6
B12 H6
D3 D7
L10 I4
G6 B1
L10 A3
D7 D11
G3 B3
D11 C5
G3 D8
C8 B3
L10 N8
C8 C8
D3 C7
C5 L5
L10 A1
B1 G12
G9 I6
G12 L12
G9 D3
H2 M6
G9 E9
C8 C1
L10 E11
M6 L4
G3 M5
C8 I7
L10 H3
L10 F11
G9 I10
L5 H1
G3 M12
H1 H3
L10 M5
H3 I11
H6 A4
C8 I9
L10 C4
C8 A2
G9 A9
I11 L6
A4 B4
C8 I3
C7 I7
L12 N8
L10 A5
C8 G9
L10 E12
L10 M12
I7 A5
N8 H4
G9 N12
C8 D6
B4 A3
C8 L4
A3 E5
L10 N7
L10 N1
L6 F5
G9 A7
F5 I7
E5 H2
I7 G2
A5 C6
L4 C7
L10 H7
C8 I2
G3 L8
C8 D10
L10 N12
G2 E10
L10 F9
L10 G1
L10 H4
E10 G12
G9 M1
L10 A5
H2 N5
C7 I3
G9 M12
G12 F1
C6 F4
I3 I9
G9 L9
F1 F10
G3 G11
L10 D3
L10 H3
C8 B10
G9 N6
C8 C5
G9 D9
F10 G3
L10 H7
L10 A10
N5 M8
C8 C3
G9 F12
L10 D1
F4 L8
I9 D4
G9 C8
C8 G5
G3 I2
L10 I5
G9 G3
D4 C11
L10 B2
G3 H11
M8 B5
C8 F12
L10 B2
C8 F9
B5 I1
C11 F12
L10 M8
L10 C3
L10 A1
C8 N5
G3 C1
C8 N9
L10 I4
L10 L8
L10 L11
C8 H6
L10 M8
C8 N1
L8 A10
F12 C9
I1 G12
C9 G7
L10 L9
C8 E8
L10 C9
G7 L8
G9 I4
L10 L11
G3 F10
C8 I3
G9 G12
C8 D1
A10 B8
H11 M2
L10 A10
M2 D7
G3 C2
L8 C4
L10 N4
C4 G3
G12 D12
L10 I7
D12 D1
L10 M12
B8 E2
D7 D11
L10 C8
C8 N4
G3 G9
C8 L2
G9 N12
G3 H12
G3 E6
H12 L1
L10 A11
L1 D1
L10 G12
D11 G11
G3 F8
L10 H4
L10 C9
C8 E1
D1 B4
D1 G12
L10 A7
C8 B4
L10 G3
G11 F3
E2 F7
F3 B1
G9 C9
B1 I3
G3 N11
L10 D6
F7 E11
I3 B2
G9 F4
B2 I5
L10 L2
G12 E7
L10 H9
E7 C5
G9 L12
C5 B9
L10 L3
C8 F7
L10 E5
B9 C6
G3 N3
L10 M5
L10 D3
L10 H12
G9 D12
C8 L1
L10 L6
C6 C9
L10 G11
L10 F10
G9 F10
L10 G9
E11 N2
C8 B8
L10 G7
I5 F2
G9 A10
C9 D11
G9 H12
C8 N12
G3 B2
C8 B10
